Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
1,0,0,0,12,1,1,2,1,0,0,0,0,0,0,1,0,927.35,1
0,0,1,1,71,1,1,1,1,1,0,1,0,0,1,1,3,4748.7,0
0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,113.85,1
0,0,0,0,52,1,0,0,0,0,0,0,0,0,2,0,2,1107.2,0
1,1,1,0,25,1,0,2,0,1,1,0,1,1,0,1,0,2514.5,1
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.2,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,19.45,0
0,0,0,0,38,1,1,2,0,0,1,1,1,0,1,0,2,3605.6,0
1,1,1,0,66,0,2,1,0,1,1,0,1,0,1,0,2,3027.25,0
0,0,1,0,68,1,1,2,0,1,1,1,1,1,2,1,2,7611.85,1
0,0,0,0,5,0,2,1,0,0,0,0,0,0,0,0,1,100.2,0
1,0,1,1,72,1,1,2,1,1,0,0,1,1,1,1,0,7303.05,0
1,0,0,0,32,0,2,1,1,0,0,0,0,0,1,0,1,927.65,0
0,0,0,0,43,1,1,2,0,0,0,0,1,1,1,0,1,3921.3,0
0,0,1,1,72,1,0,0,0,0,0,0,0,0,2,0,3,1363.25,0
0,0,1,0,55,1,1,2,1,1,0,0,1,0,0,1,0,5238.9,1
1,0,0,0,52,1,0,1,1,0,1,1,0,0,1,0,3,3042.25,0
1,0,0,0,43,1,0,2,0,1,1,0,1,0,0,1,0,3954.1,0
1,1,1,0,37,1,1,2,0,0,0,0,0,0,0,1,0,2868.15,1
1,0,1,1,64,0,2,1,0,1,0,1,1,1,2,1,0,3423.5,0
0,0,1,1,3,1,0,2,1,1,0,0,1,0,0,0,0,248.4,0
1,0,0,0,36,0,2,1,1,0,0,0,0,0,2,0,2,1126.35,0
1,0,1,1,10,1,1,2,1,0,0,0,1,1,0,1,0,1064.65,1
1,0,0,0,41,1,0,0,0,0,0,0,0,0,2,0,1,835.15,0
0,0,1,1,27,1,1,2,0,1,0,1,0,0,0,1,3,2151.6,0
1,0,1,1,56,1,1,2,0,0,1,0,1,1,1,1,3,5515.45,0
1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,1,112.75,0
0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,229.55,1
1,0,1,1,7,1,0,1,1,0,0,0,0,0,0,0,1,350.35,0
1,0,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,62.9,0
0,0,0,0,33,1,0,2,1,0,0,1,1,0,2,1,0,3027.65,0
1,1,0,0,27,1,1,2,0,0,1,0,0,0,0,1,0,2135.5,1
0,0,1,0,72,1,1,0,0,0,0,0,0,0,2,1,2,1723.95,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,19.75,0
0,1,0,0,71,0,2,1,1,1,0,0,1,1,1,1,0,3985.35,0
1,0,0,0,13,1,1,2,0,0,0,0,0,1,0,1,0,1215.65,0
1,0,1,1,25,0,2,1,1,1,1,0,1,1,0,1,3,1502.65,1
0,0,0,0,67,1,0,1,0,0,0,1,0,0,2,0,2,3260.1,0
0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,1,0,35.45,1
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,81.25,1
1,0,0,0,43,1,1,0,0,0,0,0,0,0,2,1,3,1188.2,0
1,0,0,0,23,1,0,2,1,0,0,0,0,0,0,1,2,1778.5,0
1,0,1,1,64,1,0,0,0,0,0,0,0,0,2,0,1,1277.75,0
0,0,0,1,57,1,0,0,0,0,0,0,0,0,2,1,1,1170.55,0
1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,1,70.45,1
1,1,1,1,72,1,1,1,1,1,1,1,1,1,2,1,3,6425.65,0
1,0,0,0,8,1,1,1,1,0,0,1,0,1,0,0,0,563.65,1
1,0,1,0,61,1,1,2,0,1,0,0,1,1,2,1,2,5971.25,0
0,0,0,0,64,1,1,2,1,1,0,0,0,0,1,1,3,5289.05,0
0,1,1,0,71,1,1,0,0,0,0,0,0,0,2,0,2,1756.2,0
1,0,1,1,65,1,1,2,1,1,0,1,1,0,2,1,3,6416.7,0
0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,61.35,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,45.65,1
0,0,0,1,30,1,0,1,0,1,1,0,1,0,1,0,3,1929.95,0
0,0,1,1,15,1,0,1,0,1,1,1,0,1,0,1,1,1071.4,0
1,0,1,1,8,1,0,1,0,0,0,1,1,1,0,1,0,564.35,0
0,0,0,0,7,1,1,2,0,0,0,0,1,1,0,0,1,655.5,1
1,0,1,1,70,1,1,2,1,1,1,0,1,1,1,1,3,7930.55,0
0,0,1,1,62,1,0,1,1,1,1,1,1,1,2,0,0,5215.25,0
1,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,1,113.5,0
1,0,1,1,14,1,0,2,0,0,0,0,0,1,0,1,2,1152.8,0
1,0,0,0,22,1,1,2,0,0,0,0,1,0,0,1,2,1821.95,0
0,0,1,1,22,1,0,0,0,0,0,0,0,0,1,0,1,419.9,0
0,0,1,1,16,1,0,1,1,0,1,0,1,0,2,0,1,1024.0,0
0,0,0,0,10,1,1,0,0,0,0,0,0,0,2,0,2,251.6,0
1,0,0,1,13,1,0,1,1,1,0,0,0,0,0,1,0,764.55,0
1,0,1,0,20,1,1,2,1,0,0,0,0,0,0,0,0,1592.35,1
1,0,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,135.2,0
0,0,0,0,53,1,1,1,0,1,1,1,0,1,2,1,2,3958.25,0
1,0,1,1,11,1,0,0,0,0,0,0,0,0,1,0,1,233.9,0
0,0,1,0,69,1,0,0,0,0,0,0,0,0,2,0,1,1363.45,0
1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,2,273.0,1
0,0,1,0,72,1,1,1,1,1,1,1,1,1,2,1,2,6254.45,0
0,1,1,0,58,0,2,1,0,1,1,0,0,1,0,1,0,2651.2,1
1,0,1,1,16,1,0,0,0,0,0,0,0,0,0,0,0,321.4,0
0,0,1,0,43,1,0,2,1,0,1,1,0,0,1,1,2,3539.25,0
1,0,1,0,2,1,1,2,0,0,1,1,1,1,0,1,0,242.8,1
0,0,1,0,14,1,0,1,0,1,1,1,1,1,2,0,1,1181.75,0
1,0,1,0,53,1,0,2,0,0,1,0,1,1,1,1,2,5000.2,1
1,0,0,0,32,1,0,0,0,0,0,0,0,0,1,0,2,654.55,0
1,0,1,0,34,1,1,0,0,0,0,0,0,0,0,0,0,780.2,0
1,1,0,0,15,1,1,2,0,0,0,0,0,0,0,1,1,1145.7,1
1,1,0,0,7,1,0,2,1,0,0,0,0,0,0,0,2,503.6,1
1,0,1,1,15,1,1,2,0,1,1,0,1,1,0,1,2,1559.25,0
0,0,1,0,61,1,0,0,0,0,0,0,0,0,1,1,3,1252.0,0
1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,2,29.95,1
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,45.3,0
0,0,0,0,8,1,1,2,0,0,0,0,0,1,0,0,2,662.65,1
0,0,1,1,33,1,0,1,1,0,1,0,1,1,1,0,3,2453.3,0
1,0,0,0,13,1,0,2,0,1,1,0,0,0,0,1,0,1111.65,1
1,0,1,0,1,0,2,1,0,0,0,0,0,0,0,1,0,24.8,1
0,0,0,0,20,1,0,1,0,1,0,0,0,0,0,1,1,1023.85,0
0,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,82.15,0
1,0,0,0,13,1,0,0,0,0,0,0,0,0,1,0,0,244.8,0
1,0,1,0,40,1,1,1,0,1,0,0,0,0,0,0,3,2379.1,0
0,0,1,1,43,1,1,1,1,0,0,1,0,1,1,1,3,3173.35,0
0,0,1,0,6,1,0,2,0,1,1,0,0,1,0,1,0,531.0,1
1,0,1,1,69,1,0,0,0,0,0,0,0,0,2,0,2,1375.4,0
1,0,1,1,72,1,1,2,1,1,1,0,1,1,2,0,3,8129.3,0
0,0,1,1,59,1,0,0,0,0,0,0,0,0,2,0,3,1192.7,0
1,0,1,0,20,1,0,2,1,1,0,1,1,0,0,1,0,1901.65,0
0,0,1,1,24,1,1,0,0,0,0,0,0,0,2,1,2,587.4,0
0,0,0,0,59,1,1,2,0,1,1,1,1,1,0,1,0,6519.75,0
0,0,1,1,72,1,1,2,0,1,1,1,1,1,2,1,2,8041.65,0
0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,20.75,0
1,0,1,0,27,1,0,2,1,0,0,1,1,1,1,1,3,2681.15,0
1,0,0,0,14,1,0,2,0,1,0,1,0,0,0,1,3,1112.3,0
0,0,1,1,71,1,1,2,1,0,1,0,1,1,2,0,0,7405.5,0
0,0,0,1,13,1,0,2,0,0,0,0,1,0,0,1,3,1033.95,0
0,0,0,0,44,1,0,2,0,0,0,0,0,0,0,0,3,2958.95,0
1,0,0,0,33,1,0,2,0,1,0,1,0,0,1,1,2,2684.85,0
0,0,1,1,72,0,2,1,1,1,1,1,0,1,2,1,3,4179.2,0
0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,79.9,1
1,0,0,0,19,1,0,2,1,0,1,1,1,1,0,1,0,1934.45,1
0,0,1,0,64,1,0,2,0,1,1,1,1,1,1,1,3,6654.1,0
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,3,84.5,1
1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,25.25,0
0,0,0,1,61,1,0,0,0,0,0,0,0,0,2,0,1,1124.2,0
1,0,1,1,29,1,0,0,0,0,0,0,0,0,1,0,0,540.05,0
0,1,1,0,23,1,1,2,0,0,0,0,0,1,0,0,0,1975.85,0
1,0,1,0,57,0,2,1,1,1,1,0,1,1,0,1,2,3437.45,0
0,0,1,1,72,0,2,1,1,1,1,1,0,0,2,0,3,3139.8,0
0,0,1,0,66,0,2,1,1,1,1,1,1,0,2,1,2,3789.2,0
0,0,1,1,65,1,1,1,0,1,1,1,1,1,2,1,2,5324.5,0
1,0,0,0,8,1,0,2,0,0,0,0,1,0,0,1,2,624.6,0
1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,268.35,1
1,0,1,0,71,1,1,0,0,0,0,0,0,0,2,0,2,1836.9,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,20.2,0
0,0,1,0,4,1,0,1,0,0,0,1,0,0,0,0,1,179.35,1
1,0,0,0,12,1,0,0,0,0,0,0,0,0,1,1,2,219.35,0
0,0,0,0,24,0,2,1,1,0,0,0,1,1,1,1,1,1288.75,0
1,0,1,1,31,1,0,1,1,0,1,1,1,1,1,1,1,2545.75,0
1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,55.2,1
0,0,0,0,30,1,1,2,0,0,0,1,0,1,0,1,3,2723.15,0
1,0,1,1,47,1,1,1,1,1,0,1,1,1,2,1,3,4107.25,0
0,0,0,0,54,1,1,2,1,1,0,1,1,1,2,1,3,5760.65,0
0,0,0,0,50,1,0,2,1,1,0,1,0,1,0,1,3,4747.5,0
0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,1,1,84.6,1
1,0,0,0,72,1,0,0,0,0,0,0,0,0,2,0,3,1566.9,0
1,0,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,702.0,0
0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,1,1,114.1,1
1,0,0,0,10,0,2,1,0,0,0,1,0,0,2,1,1,299.05,0
0,0,1,0,18,1,1,2,0,0,0,0,0,0,0,1,0,1305.95,0
1,1,0,0,11,1,0,2,0,1,0,0,1,1,0,1,0,1120.3,1
0,0,0,0,16,1,0,0,0,0,0,0,0,0,2,0,1,284.35,0
1,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,2,6350.5,0
0,0,0,0,72,1,1,2,0,1,1,1,1,1,2,0,2,7878.3,0
1,0,1,1,41,1,0,1,1,0,0,1,1,1,1,1,3,3187.65,0
1,1,1,0,65,1,0,2,1,1,1,0,0,1,0,0,0,6126.15,0
1,1,0,0,13,1,0,1,0,1,1,0,0,0,0,1,0,731.3,0
0,1,0,0,4,1,0,2,1,0,0,0,0,0,0,0,0,273.4,0
0,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,1,2531.8,0
0,1,0,0,15,1,0,2,0,1,0,0,0,0,0,1,0,1074.3,1
0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,1,48.55,1
0,0,0,0,42,1,1,2,1,1,1,0,0,1,1,1,0,4298.45,0
1,0,1,0,51,1,0,2,1,1,1,0,1,0,1,1,0,4619.55,0
1,0,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,147.15,1
0,1,1,0,1,0,2,1,0,1,0,0,1,0,0,0,0,40.2,1
0,0,0,1,32,1,1,1,0,1,1,1,1,1,1,0,3,2633.3,0
0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,1,1,193.05,0
1,0,1,1,67,0,2,1,0,1,1,1,1,1,2,1,0,4103.9,0
1,0,1,1,61,1,1,2,1,1,1,1,1,1,2,0,3,7008.15,0
0,0,0,0,50,1,1,2,1,1,1,1,1,1,1,0,3,5791.1,0
1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,1,3,80.55,1
1,1,1,0,29,0,2,1,1,0,1,0,0,1,0,1,0,1228.65,0
0,1,0,0,3,0,2,1,0,0,1,0,0,1,0,1,0,132.2,1
0,1,0,0,13,1,1,2,0,1,1,0,1,1,0,1,0,1364.3,1
0,1,1,0,57,1,1,2,0,1,0,0,0,1,0,1,0,4925.35,0
1,0,0,0,31,0,2,1,1,1,0,1,0,1,2,1,2,1520.1,0
1,0,1,0,45,1,1,2,1,1,1,1,1,1,1,0,1,5032.25,0
1,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,1,5526.75,0
0,0,0,0,50,1,1,0,0,0,0,0,0,0,2,0,2,1195.25,0
1,1,0,0,19,1,0,2,1,1,0,1,1,1,0,1,1,2007.25,0
0,0,0,0,59,1,0,0,0,0,0,0,0,0,2,0,1,1099.6,1
1,0,1,0,71,1,1,0,0,0,0,0,0,0,2,1,3,1732.95,0
1,1,0,0,16,1,0,2,0,0,0,1,1,1,0,1,0,1511.2,1
0,0,1,0,57,1,0,1,1,1,0,1,0,0,2,1,0,3450.15,0
0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,2,24.8,1
0,1,1,0,20,1,1,2,0,1,0,1,1,1,0,0,0,2172.05,0
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,70.6,1
0,0,1,0,5,1,1,2,0,1,0,1,0,0,0,1,0,401.1,1
1,0,1,0,52,1,1,2,0,1,1,0,1,1,0,1,0,5624.85,1
0,1,1,0,21,1,0,1,1,1,0,0,0,1,0,1,2,1339.8,0
0,0,0,0,14,0,2,1,0,0,1,1,1,1,0,1,0,771.95,0
1,0,0,0,5,1,0,1,0,1,0,0,0,0,0,0,2,244.75,0
1,0,0,0,6,1,0,1,1,1,0,0,0,0,0,0,1,322.9,0
1,0,0,0,10,1,0,1,0,1,0,0,0,0,0,0,0,498.25,0
1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,25.4,0
1,0,0,0,68,1,1,1,1,0,0,0,0,0,0,0,1,3687.75,0
0,0,1,1,18,1,0,2,0,0,1,0,1,1,0,0,1,1779.95,1
1,0,0,0,22,1,1,2,0,0,0,0,0,0,1,1,3,1783.6,0
1,0,0,0,20,1,0,1,0,0,0,0,0,0,0,1,0,927.15,0
0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,70.0,1
0,1,0,0,8,1,0,2,0,1,0,0,0,0,0,1,0,606.55,1
0,0,0,0,10,1,0,1,0,0,0,0,0,0,0,1,3,435.4,1
0,1,0,0,24,1,1,2,0,0,0,0,0,0,0,1,0,1712.7,1
0,0,0,0,35,1,0,1,1,1,1,0,0,0,1,0,1,2021.2,0
0,0,1,1,23,1,0,2,0,1,1,1,0,0,1,0,1,1940.8,0
1,1,0,0,6,1,0,2,0,0,0,0,1,1,0,1,0,567.8,0
1,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,1,220.35,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,20.25,0
1,0,1,1,71,1,0,2,0,0,1,0,0,0,2,0,0,5436.45,0
0,1,1,0,35,1,1,2,0,0,1,0,1,1,0,1,0,3437.5,0
0,0,1,1,40,1,1,1,0,0,1,0,1,1,0,1,0,3015.75,0
1,0,0,1,1,1,0,2,1,0,0,0,0,0,0,1,1,73.6,1
0,0,0,0,23,1,0,1,0,0,0,0,1,1,1,1,2,1509.8,0
1,1,0,0,4,1,1,2,0,0,0,0,1,1,0,1,0,396.1,1
0,0,0,0,4,1,0,2,0,0,1,1,0,1,0,1,0,356.65,0
1,0,1,1,68,0,2,1,0,1,1,1,1,1,2,0,3,4109.0,0
0,0,0,1,38,1,1,2,0,1,0,0,0,0,0,1,1,3141.7,0
0,0,1,1,52,1,1,0,0,0,0,0,0,0,2,0,1,1229.1,0
0,1,1,0,32,1,1,2,0,0,0,0,0,0,0,1,0,2303.35,1
0,0,1,1,29,1,0,1,0,0,1,1,1,1,2,0,1,2054.4,0
0,1,1,1,38,1,1,2,0,1,0,0,1,1,0,0,0,3741.85,0
0,0,0,1,48,1,1,1,1,0,1,0,1,1,1,1,3,3682.45,0
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,19.25,0
1,0,0,0,22,1,0,2,1,0,0,1,0,1,0,1,0,1886.25,0
1,0,0,0,43,1,1,2,1,1,1,1,1,1,2,0,3,4895.1,0
1,1,1,0,5,1,0,2,0,0,0,0,0,0,0,1,0,341.6,0
0,0,0,0,5,1,0,2,0,0,0,0,1,0,0,1,0,415.55,1
0,0,1,1,51,1,1,2,1,1,0,1,1,1,1,0,3,5686.4,0
0,0,0,0,71,1,0,0,0,0,0,0,0,0,2,1,3,1355.1,0
1,0,1,1,38,1,0,1,1,1,0,1,1,1,1,0,3,3058.65,1
0,1,1,0,24,1,0,2,0,0,1,0,1,1,0,1,0,2231.05,1
0,0,1,0,35,1,1,2,0,0,0,1,1,0,0,1,3,3236.35,0
1,1,0,0,54,1,1,1,1,1,0,1,1,1,1,0,2,4350.1,1
1,0,1,1,72,0,2,1,0,1,1,1,1,1,2,1,0,4264.0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,44.8,0
1,0,1,1,9,1,0,1,1,0,0,0,0,0,1,0,1,422.3,0
0,0,0,0,69,0,2,1,1,1,0,1,1,1,2,1,2,4176.7,0
1,0,1,0,52,1,1,2,0,1,0,1,1,1,0,1,3,5138.1,0
1,1,1,0,11,1,0,2,0,0,0,1,1,0,0,1,0,880.05,0
1,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,0,139.05,1
1,1,1,1,28,0,2,1,0,0,0,0,1,0,0,1,0,973.65,0
1,1,0,0,17,1,1,2,0,0,1,0,0,0,0,1,3,1470.05,0
1,0,1,1,35,1,0,0,0,0,0,0,0,0,2,1,1,739.35,0
1,0,0,0,8,1,0,0,0,0,0,0,0,0,1,1,1,161.95,0
0,0,0,0,46,1,1,2,0,1,1,0,1,0,1,1,3,4422.95,0
1,0,0,0,7,1,1,2,0,0,0,0,0,0,0,1,0,511.25,1
1,0,0,0,2,1,1,2,0,0,1,0,0,0,0,0,1,155.8,1
0,0,1,1,68,1,1,1,0,1,1,1,0,1,1,1,2,5293.95,1
1,0,0,0,43,1,1,2,0,1,1,0,1,1,2,1,0,4759.85,1
1,0,0,0,68,1,1,1,1,1,1,1,1,1,2,1,0,6148.45,0
